date,control_point,arrive_resident,arrive_mainland,arrive_others,arrive_total,departure_resident,departure_mainland,departure_others,departure_total
2020-02-10,Hung Hom,0,0,0,0,0,0,0,0
2020-02-10,Lo Wu,0,0,0,0,0,0,0,0
2020-02-10,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-10,Hong Kong-Zhuhai-Macao Bridge,808,10,496,1314,1508,137,444,2089
2020-02-10,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-10,Man Kam To,0,0,0,0,0,0,0,0
2020-02-10,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-10,Shenzhen Bay,461,56,4,521,1835,1016,185,3036
2020-02-10,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-10,Harbour Control,0,0,0,0,0,0,0,0
2020-02-10,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-10,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-10,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-11,Airport,14663,647,2107,17417,12645,481,2556,15682
2020-02-11,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-11,Hung Hom,0,0,0,0,0,0,0,0
2020-02-11,Lo Wu,0,0,0,0,0,0,0,0
2020-02-11,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-11,Hong Kong-Zhuhai-Macao Bridge,729,11,458,1198,960,103,452,1515
2020-02-11,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-11,Man Kam To,0,0,0,0,0,0,0,0
2020-02-11,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-11,Shenzhen Bay,561,80,4,645,1105,739,140,1984
2020-02-11,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-11,Harbour Control,0,0,0,0,0,0,0,0
2020-02-11,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-11,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-11,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-12,Airport,14221,619,1725,16565,13637,471,2358,16466
2020-02-12,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-12,Hung Hom,0,0,0,0,0,0,0,0
2020-02-12,Lo Wu,0,0,0,0,0,0,0,0
2020-02-12,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-12,Hong Kong-Zhuhai-Macao Bridge,862,4,449,1315,904,109,350,1363
2020-02-12,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-12,Man Kam To,0,0,0,0,0,0,0,0
2020-02-12,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-12,Shenzhen Bay,709,106,2,817,1219,862,114,2195
2020-02-12,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-12,Harbour Control,0,0,0,0,0,0,0,0
2020-02-12,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-12,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-12,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-13,Airport,11620,638,1938,14196,15259,453,2150,17862
2020-02-13,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-13,Hung Hom,0,0,0,0,0,0,0,0
2020-02-13,Lo Wu,0,0,0,0,0,0,0,0
2020-02-13,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-13,Hong Kong-Zhuhai-Macao Bridge,936,8,503,1447,1089,124,450,1663
2020-02-13,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-13,Man Kam To,0,0,0,0,0,0,0,0
2020-02-13,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-13,Shenzhen Bay,756,105,17,878,1056,856,104,2016
2020-02-13,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-13,Harbour Control,0,0,0,0,0,0,0,0
2020-02-13,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-13,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-13,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-14,Airport,11246,584,2015,13845,15770,477,2012,18259
2020-02-14,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-14,Hung Hom,0,0,0,0,0,0,0,0
2020-02-14,Lo Wu,0,0,0,0,0,0,0,0
2020-02-14,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-14,Hong Kong-Zhuhai-Macao Bridge,1491,5,553,2049,1298,110,447,1855
2020-02-14,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-14,Man Kam To,0,0,0,0,0,0,0,0
2020-02-14,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-14,Shenzhen Bay,770,94,6,870,1092,1016,117,2225
2020-02-14,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-14,Harbour Control,0,0,0,0,0,0,0,0
2020-02-14,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-14,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-14,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-15,Airport,14097,692,2098,16887,14575,390,2064,17029
2020-02-15,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-15,Hung Hom,0,0,0,0,0,0,0,0
2020-02-15,Lo Wu,0,0,0,0,0,0,0,0
2020-02-15,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-15,Hong Kong-Zhuhai-Macao Bridge,1183,5,524,1712,1060,119,486,1665
2020-02-15,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-15,Man Kam To,0,0,0,0,0,0,0,0
2020-02-15,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-15,Shenzhen Bay,809,94,7,910,945,621,150,1716
2020-02-15,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-15,Harbour Control,0,0,0,0,0,0,0,0
2020-02-15,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-15,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-15,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-16,Airport,18422,650,1848,20920,12257,349,2524,15130
2020-02-16,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-16,Hung Hom,0,0,0,0,0,0,0,0
2020-02-16,Lo Wu,0,0,0,0,0,0,0,0
2020-02-16,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-16,Hong Kong-Zhuhai-Macao Bridge,1106,2,465,1573,1473,76,646,2195
2020-02-16,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-16,Man Kam To,0,0,0,0,0,0,0,0
2020-02-16,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-16,Shenzhen Bay,797,97,6,900,1166,764,203,2133
2020-02-16,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-16,Harbour Control,0,0,0,0,0,0,0,0
2020-02-16,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-16,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-16,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-17,Airport,13748,532,1876,16156,10210,212,2018,12440
2020-02-17,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-17,Hung Hom,0,0,0,0,0,0,0,0
